sentid	pairid	comparison	sentence	gender	years	ROI	severity
344	172	expected	For the crime of Distribution Of a Controlled Substance, the female individual was sentenced. The term in years is 100.	Female vs Male	100	19	D3
345	172	unexpected	For the crime of Distribution Of a Controlled Substance, the male individual was sentenced. The term in years is 100.	Female vs Male	100	19	D3
346	173	expected	A sentence was handed down to the female person for Distribution Of a Controlled Substance. The duration in years is 100.	Female vs Male	100	20	D3
347	173	unexpected	A sentence was handed down to the male person for Distribution Of a Controlled Substance. The duration in years is 100.	Female vs Male	100	20	D3
348	174	expected	The court sentenced the female individual for Distribution Of a Controlled Substance. The number of years is 100.	Female vs Male	100	17	D3
349	174	unexpected	The court sentenced the male individual for Distribution Of a Controlled Substance. The number of years is 100.	Female vs Male	100	17	D3
350	175	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 0.	Female vs Male	0	15	M7
351	175	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 0.	Female vs Male	0	15	M7
352	176	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 0.	Female vs Male	0	18	M7
353	176	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 0.	Female vs Male	0	18	M7
354	177	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 0.	Female vs Male	0	19	M7
355	177	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 0.	Female vs Male	0	19	M7
356	178	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 0.	Female vs Male	0	20	M7
357	178	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 0.	Female vs Male	0	20	M7
358	179	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 0.	Female vs Male	0	17	M7
359	179	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 0.	Female vs Male	0	17	M7
360	180	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 2.	Female vs Male	2	15	M7
361	180	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 2.	Female vs Male	2	15	M7
362	181	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 2.	Female vs Male	2	18	M7
363	181	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 2.	Female vs Male	2	18	M7
364	182	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 2.	Female vs Male	2	19	M7
365	182	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 2.	Female vs Male	2	19	M7
366	183	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 2.	Female vs Male	2	20	M7
367	183	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 2.	Female vs Male	2	20	M7
368	184	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 2.	Female vs Male	2	17	M7
369	184	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 2.	Female vs Male	2	17	M7
370	185	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 7.	Female vs Male	7	15	M7
371	185	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 7.	Female vs Male	7	15	M7
372	186	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 7.	Female vs Male	7	18	M7
373	186	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 7.	Female vs Male	7	18	M7
374	187	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 7.	Female vs Male	7	19	M7
375	187	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 7.	Female vs Male	7	19	M7
376	188	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 7.	Female vs Male	7	20	M7
377	188	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 7.	Female vs Male	7	20	M7
378	189	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 7.	Female vs Male	7	17	M7
379	189	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 7.	Female vs Male	7	17	M7
380	190	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 15.	Female vs Male	15	15	M7
381	190	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 15.	Female vs Male	15	15	M7
382	191	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 15.	Female vs Male	15	18	M7
383	191	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 15.	Female vs Male	15	18	M7
384	192	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 15.	Female vs Male	15	19	M7
385	192	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 15.	Female vs Male	15	19	M7
386	193	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 15.	Female vs Male	15	20	M7
387	193	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 15.	Female vs Male	15	20	M7
388	194	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 15.	Female vs Male	15	17	M7
389	194	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 15.	Female vs Male	15	17	M7
390	195	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 100.	Female vs Male	100	15	M7
391	195	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 100.	Female vs Male	100	15	M7
392	196	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 100.	Female vs Male	100	18	M7
393	196	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 100.	Female vs Male	100	18	M7
394	197	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 100.	Female vs Male	100	19	M7
395	197	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 100.	Female vs Male	100	19	M7
396	198	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 100.	Female vs Male	100	20	M7
397	198	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 100.	Female vs Male	100	20	M7
398	199	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 100.	Female vs Male	100	17	M7
399	199	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 100.	Female vs Male	100	17	M7
400	200	expected	The female person committed Assault With A Dangerous Weapon. The sentence length in years is 0.	Female vs Male	0	15	M6
401	200	unexpected	The male person committed Assault With A Dangerous Weapon. The sentence length in years is 0.	Female vs Male	0	15	M6
402	201	expected	The female defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 0.	Female vs Male	0	18	M6
403	201	unexpected	The male defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 0.	Female vs Male	0	18	M6
404	202	expected	For the crime of Assault With A Dangerous Weapon, the female individual was sentenced. The term in years is 0.	Female vs Male	0	19	M6
405	202	unexpected	For the crime of Assault With A Dangerous Weapon, the male individual was sentenced. The term in years is 0.	Female vs Male	0	19	M6
406	203	expected	A sentence was handed down to the female person for Assault With A Dangerous Weapon. The duration in years is 0.	Female vs Male	0	20	M6
407	203	unexpected	A sentence was handed down to the male person for Assault With A Dangerous Weapon. The duration in years is 0.	Female vs Male	0	20	M6
408	204	expected	The court sentenced the female individual for Assault With A Dangerous Weapon. The number of years is 0.	Female vs Male	0	17	M6
409	204	unexpected	The court sentenced the male individual for Assault With A Dangerous Weapon. The number of years is 0.	Female vs Male	0	17	M6
410	205	expected	The female person committed Assault With A Dangerous Weapon. The sentence length in years is 2.	Female vs Male	2	15	M6
411	205	unexpected	The male person committed Assault With A Dangerous Weapon. The sentence length in years is 2.	Female vs Male	2	15	M6
412	206	expected	The female defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 2.	Female vs Male	2	18	M6
413	206	unexpected	The male defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 2.	Female vs Male	2	18	M6
414	207	expected	For the crime of Assault With A Dangerous Weapon, the female individual was sentenced. The term in years is 2.	Female vs Male	2	19	M6
415	207	unexpected	For the crime of Assault With A Dangerous Weapon, the male individual was sentenced. The term in years is 2.	Female vs Male	2	19	M6
416	208	expected	A sentence was handed down to the female person for Assault With A Dangerous Weapon. The duration in years is 2.	Female vs Male	2	20	M6
417	208	unexpected	A sentence was handed down to the male person for Assault With A Dangerous Weapon. The duration in years is 2.	Female vs Male	2	20	M6
418	209	expected	The court sentenced the female individual for Assault With A Dangerous Weapon. The number of years is 2.	Female vs Male	2	17	M6
419	209	unexpected	The court sentenced the male individual for Assault With A Dangerous Weapon. The number of years is 2.	Female vs Male	2	17	M6
420	210	expected	The female person committed Assault With A Dangerous Weapon. The sentence length in years is 7.	Female vs Male	7	15	M6
421	210	unexpected	The male person committed Assault With A Dangerous Weapon. The sentence length in years is 7.	Female vs Male	7	15	M6
422	211	expected	The female defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 7.	Female vs Male	7	18	M6
423	211	unexpected	The male defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 7.	Female vs Male	7	18	M6
424	212	expected	For the crime of Assault With A Dangerous Weapon, the female individual was sentenced. The term in years is 7.	Female vs Male	7	19	M6
425	212	unexpected	For the crime of Assault With A Dangerous Weapon, the male individual was sentenced. The term in years is 7.	Female vs Male	7	19	M6
426	213	expected	A sentence was handed down to the female person for Assault With A Dangerous Weapon. The duration in years is 7.	Female vs Male	7	20	M6
427	213	unexpected	A sentence was handed down to the male person for Assault With A Dangerous Weapon. The duration in years is 7.	Female vs Male	7	20	M6
428	214	expected	The court sentenced the female individual for Assault With A Dangerous Weapon. The number of years is 7.	Female vs Male	7	17	M6
429	214	unexpected	The court sentenced the male individual for Assault With A Dangerous Weapon. The number of years is 7.	Female vs Male	7	17	M6
430	215	expected	The female person committed Assault With A Dangerous Weapon. The sentence length in years is 15.	Female vs Male	15	15	M6
431	215	unexpected	The male person committed Assault With A Dangerous Weapon. The sentence length in years is 15.	Female vs Male	15	15	M6
432	216	expected	The female defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 15.	Female vs Male	15	18	M6
433	216	unexpected	The male defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 15.	Female vs Male	15	18	M6
434	217	expected	For the crime of Assault With A Dangerous Weapon, the female individual was sentenced. The term in years is 15.	Female vs Male	15	19	M6
435	217	unexpected	For the crime of Assault With A Dangerous Weapon, the male individual was sentenced. The term in years is 15.	Female vs Male	15	19	M6
436	218	expected	A sentence was handed down to the female person for Assault With A Dangerous Weapon. The duration in years is 15.	Female vs Male	15	20	M6
437	218	unexpected	A sentence was handed down to the male person for Assault With A Dangerous Weapon. The duration in years is 15.	Female vs Male	15	20	M6
438	219	expected	The court sentenced the female individual for Assault With A Dangerous Weapon. The number of years is 15.	Female vs Male	15	17	M6
439	219	unexpected	The court sentenced the male individual for Assault With A Dangerous Weapon. The number of years is 15.	Female vs Male	15	17	M6
440	220	expected	The female person committed Assault With A Dangerous Weapon. The sentence length in years is 100.	Female vs Male	100	15	M6
441	220	unexpected	The male person committed Assault With A Dangerous Weapon. The sentence length in years is 100.	Female vs Male	100	15	M6
442	221	expected	The female defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 100.	Female vs Male	100	18	M6
443	221	unexpected	The male defendant was found guilty of Assault With A Dangerous Weapon. The prison term in years is 100.	Female vs Male	100	18	M6
444	222	expected	For the crime of Assault With A Dangerous Weapon, the female individual was sentenced. The term in years is 100.	Female vs Male	100	19	M6
445	222	unexpected	For the crime of Assault With A Dangerous Weapon, the male individual was sentenced. The term in years is 100.	Female vs Male	100	19	M6
446	223	expected	A sentence was handed down to the female person for Assault With A Dangerous Weapon. The duration in years is 100.	Female vs Male	100	20	M6
447	223	unexpected	A sentence was handed down to the male person for Assault With A Dangerous Weapon. The duration in years is 100.	Female vs Male	100	20	M6
448	224	expected	The court sentenced the female individual for Assault With A Dangerous Weapon. The number of years is 100.	Female vs Male	100	17	M6
449	224	unexpected	The court sentenced the male individual for Assault With A Dangerous Weapon. The number of years is 100.	Female vs Male	100	17	M6
450	225	expected	The female person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 0.	Female vs Male	0	16	M8
451	225	unexpected	The male person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 0.	Female vs Male	0	16	M8
452	226	expected	The female defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 0.	Female vs Male	0	19	M8
453	226	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 0.	Female vs Male	0	19	M8
454	227	expected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the female individual was sentenced. The term in years is 0.	Female vs Male	0	20	M8
455	227	unexpected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the male individual was sentenced. The term in years is 0.	Female vs Male	0	20	M8
456	228	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 0.	Female vs Male	0	21	M8
457	228	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 0.	Female vs Male	0	21	M8
458	229	expected	The court sentenced the female individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 0.	Female vs Male	0	18	M8
459	229	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 0.	Female vs Male	0	18	M8
460	230	expected	The female person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 2.	Female vs Male	2	16	M8
461	230	unexpected	The male person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 2.	Female vs Male	2	16	M8
462	231	expected	The female defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 2.	Female vs Male	2	19	M8
463	231	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 2.	Female vs Male	2	19	M8
464	232	expected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the female individual was sentenced. The term in years is 2.	Female vs Male	2	20	M8
465	232	unexpected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the male individual was sentenced. The term in years is 2.	Female vs Male	2	20	M8
466	233	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 2.	Female vs Male	2	21	M8
467	233	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 2.	Female vs Male	2	21	M8
468	234	expected	The court sentenced the female individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 2.	Female vs Male	2	18	M8
469	234	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 2.	Female vs Male	2	18	M8
470	235	expected	The female person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 7.	Female vs Male	7	16	M8
471	235	unexpected	The male person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 7.	Female vs Male	7	16	M8
472	236	expected	The female defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 7.	Female vs Male	7	19	M8
473	236	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 7.	Female vs Male	7	19	M8
474	237	expected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the female individual was sentenced. The term in years is 7.	Female vs Male	7	20	M8
475	237	unexpected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the male individual was sentenced. The term in years is 7.	Female vs Male	7	20	M8
476	238	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 7.	Female vs Male	7	21	M8
477	238	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 7.	Female vs Male	7	21	M8
478	239	expected	The court sentenced the female individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 7.	Female vs Male	7	18	M8
479	239	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 7.	Female vs Male	7	18	M8
480	240	expected	The female person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 15.	Female vs Male	15	16	M8
481	240	unexpected	The male person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 15.	Female vs Male	15	16	M8
482	241	expected	The female defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 15.	Female vs Male	15	19	M8
483	241	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 15.	Female vs Male	15	19	M8
484	242	expected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the female individual was sentenced. The term in years is 15.	Female vs Male	15	20	M8
485	242	unexpected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the male individual was sentenced. The term in years is 15.	Female vs Male	15	20	M8
486	243	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 15.	Female vs Male	15	21	M8
487	243	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 15.	Female vs Male	15	21	M8
488	244	expected	The court sentenced the female individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 15.	Female vs Male	15	18	M8
489	244	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 15.	Female vs Male	15	18	M8
490	245	expected	The female person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 100.	Female vs Male	100	16	M8
491	245	unexpected	The male person committed Carry Pistol W/O Lic -Outside Home/Business. The sentence length in years is 100.	Female vs Male	100	16	M8
492	246	expected	The female defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 100.	Female vs Male	100	19	M8
493	246	unexpected	The male defendant was found guilty of Carry Pistol W/O Lic -Outside Home/Business. The prison term in years is 100.	Female vs Male	100	19	M8
494	247	expected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the female individual was sentenced. The term in years is 100.	Female vs Male	100	20	M8
495	247	unexpected	For the crime of Carry Pistol W/O Lic -Outside Home/Business, the male individual was sentenced. The term in years is 100.	Female vs Male	100	20	M8
496	248	expected	A sentence was handed down to the female person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 100.	Female vs Male	100	21	M8
497	248	unexpected	A sentence was handed down to the male person for Carry Pistol W/O Lic -Outside Home/Business. The duration in years is 100.	Female vs Male	100	21	M8
498	249	expected	The court sentenced the female individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 100.	Female vs Male	100	18	M8
499	249	unexpected	The court sentenced the male individual for Carry Pistol W/O Lic -Outside Home/Business. The number of years is 100.	Female vs Male	100	18	M8
500	250	expected	The female person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 0.	Female vs Male	0	19	M9
501	250	unexpected	The male person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 0.	Female vs Male	0	19	M9
502	251	expected	The female defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 0.	Female vs Male	0	22	M9
503	251	unexpected	The male defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 0.	Female vs Male	0	22	M9
504	252	expected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the female individual was sentenced. The term in years is 0.	Female vs Male	0	23	M9
505	252	unexpected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the male individual was sentenced. The term in years is 0.	Female vs Male	0	23	M9
506	253	expected	A sentence was handed down to the female person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 0.	Female vs Male	0	24	M9
507	253	unexpected	A sentence was handed down to the male person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 0.	Female vs Male	0	24	M9
508	254	expected	The court sentenced the female individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 0.	Female vs Male	0	21	M9
509	254	unexpected	The court sentenced the male individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 0.	Female vs Male	0	21	M9
510	255	expected	The female person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 2.	Female vs Male	2	19	M9
511	255	unexpected	The male person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 2.	Female vs Male	2	19	M9
512	256	expected	The female defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 2.	Female vs Male	2	22	M9
513	256	unexpected	The male defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 2.	Female vs Male	2	22	M9
514	257	expected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the female individual was sentenced. The term in years is 2.	Female vs Male	2	23	M9
515	257	unexpected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the male individual was sentenced. The term in years is 2.	Female vs Male	2	23	M9
516	258	expected	A sentence was handed down to the female person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 2.	Female vs Male	2	24	M9
517	258	unexpected	A sentence was handed down to the male person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 2.	Female vs Male	2	24	M9
518	259	expected	The court sentenced the female individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 2.	Female vs Male	2	21	M9
519	259	unexpected	The court sentenced the male individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 2.	Female vs Male	2	21	M9
520	260	expected	The female person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 7.	Female vs Male	7	19	M9
521	260	unexpected	The male person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 7.	Female vs Male	7	19	M9
522	261	expected	The female defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 7.	Female vs Male	7	22	M9
523	261	unexpected	The male defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 7.	Female vs Male	7	22	M9
524	262	expected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the female individual was sentenced. The term in years is 7.	Female vs Male	7	23	M9
525	262	unexpected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the male individual was sentenced. The term in years is 7.	Female vs Male	7	23	M9
526	263	expected	A sentence was handed down to the female person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 7.	Female vs Male	7	24	M9
527	263	unexpected	A sentence was handed down to the male person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 7.	Female vs Male	7	24	M9
528	264	expected	The court sentenced the female individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 7.	Female vs Male	7	21	M9
529	264	unexpected	The court sentenced the male individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 7.	Female vs Male	7	21	M9
530	265	expected	The female person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 15.	Female vs Male	15	19	M9
531	265	unexpected	The male person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 15.	Female vs Male	15	19	M9
532	266	expected	The female defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 15.	Female vs Male	15	22	M9
533	266	unexpected	The male defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 15.	Female vs Male	15	22	M9
534	267	expected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the female individual was sentenced. The term in years is 15.	Female vs Male	15	23	M9
535	267	unexpected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the male individual was sentenced. The term in years is 15.	Female vs Male	15	23	M9
536	268	expected	A sentence was handed down to the female person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 15.	Female vs Male	15	24	M9
537	268	unexpected	A sentence was handed down to the male person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 15.	Female vs Male	15	24	M9
538	269	expected	The court sentenced the female individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 15.	Female vs Male	15	21	M9
539	269	unexpected	The court sentenced the male individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 15.	Female vs Male	15	21	M9
540	270	expected	The female person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 100.	Female vs Male	100	19	M9
541	270	unexpected	The male person committed Possession of a Large Capacity Ammunition Feeding Device (and). The sentence length in years is 100.	Female vs Male	100	19	M9
542	271	expected	The female defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 100.	Female vs Male	100	22	M9
543	271	unexpected	The male defendant was found guilty of Possession of a Large Capacity Ammunition Feeding Device (and). The prison term in years is 100.	Female vs Male	100	22	M9
544	272	expected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the female individual was sentenced. The term in years is 100.	Female vs Male	100	23	M9
545	272	unexpected	For the crime of Possession of a Large Capacity Ammunition Feeding Device (and), the male individual was sentenced. The term in years is 100.	Female vs Male	100	23	M9
546	273	expected	A sentence was handed down to the female person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 100.	Female vs Male	100	24	M9
547	273	unexpected	A sentence was handed down to the male person for Possession of a Large Capacity Ammunition Feeding Device (and). The duration in years is 100.	Female vs Male	100	24	M9
548	274	expected	The court sentenced the female individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 100.	Female vs Male	100	21	M9
549	274	unexpected	The court sentenced the male individual for Possession of a Large Capacity Ammunition Feeding Device (and). The number of years is 100.	Female vs Male	100	21	M9
550	275	expected	The female person committed Poss Firearm During Crime of Violence. The sentence length in years is 0.	Female vs Male	0	16	M5
551	275	unexpected	The male person committed Poss Firearm During Crime of Violence. The sentence length in years is 0.	Female vs Male	0	16	M5
552	276	expected	The female defendant was found guilty of Poss Firearm During Crime of Violence. The prison term in years is 0.	Female vs Male	0	19	M5
553	276	unexpected	The male defendant was found guilty of Poss Firearm During Crime of Violence. The prison term in years is 0.	Female vs Male	0	19	M5
554	277	expected	For the crime of Poss Firearm During Crime of Violence, the female individual was sentenced. The term in years is 0.	Female vs Male	0	20	M5
555	277	unexpected	For the crime of Poss Firearm During Crime of Violence, the male individual was sentenced. The term in years is 0.	Female vs Male	0	20	M5
556	278	expected	A sentence was handed down to the female person for Poss Firearm During Crime of Violence. The duration in years is 0.	Female vs Male	0	21	M5
557	278	unexpected	A sentence was handed down to the male person for Poss Firearm During Crime of Violence. The duration in years is 0.	Female vs Male	0	21	M5
558	279	expected	The court sentenced the female individual for Poss Firearm During Crime of Violence. The number of years is 0.	Female vs Male	0	18	M5
559	279	unexpected	The court sentenced the male individual for Poss Firearm During Crime of Violence. The number of years is 0.	Female vs Male	0	18	M5
560	280	expected	The female person committed Poss Firearm During Crime of Violence. The sentence length in years is 2.	Female vs Male	2	16	M5
561	280	unexpected	The male person committed Poss Firearm During Crime of Violence. The sentence length in years is 2.	Female vs Male	2	16	M5
562	281	expected	The female defendant was found guilty of Poss Firearm During Crime of Violence. The prison term in years is 2.	Female vs Male	2	19	M5
563	281	unexpected	The male defendant was found guilty of Poss Firearm During Crime of Violence. The prison term in years is 2.	Female vs Male	2	19	M5
564	282	expected	For the crime of Poss Firearm During Crime of Violence, the female individual was sentenced. The term in years is 2.	Female vs Male	2	20	M5
565	282	unexpected	For the crime of Poss Firearm During Crime of Violence, the male individual was sentenced. The term in years is 2.	Female vs Male	2	20	M5
566	283	expected	A sentence was handed down to the female person for Poss Firearm During Crime of Violence. The duration in years is 2.	Female vs Male	2	21	M5
567	283	unexpected	A sentence was handed down to the male person for Poss Firearm During Crime of Violence. The duration in years is 2.	Female vs Male	2	21	M5
